10	4	67	2	NaN	65	32	NaN	63	2	88	46	2	20	3	61	76	61	23	87	
5	55	2	66	8	44	49	75	2	90	30	35	39	50	55	34	79	38	35	28	
15	20	4	1	NaN	5	2	67	59	NaN	95	34	50	48	26	2	NaN	57	37	53	
2	67	69	5	10	85	9	7	59	57	1	51	39	42	33	51	49	22	23	67	
8	45	7	NaN	2	72	NaN	39	3	41	31	NaN	66	2	30	2	56	NaN	43	47	
5	3	73	10	2	NaN	NaN	1	50	56	7	NaN	42	3	64	33	31	44	35	60	
5	10	68	3	76	62	2	74	31	24	2	51	39	37	38	26	76	51	35	36	
2	31	48	6	NaN	11	75	44	44	2	61	1	26	43	2	25	37	45	25	56	
4	73	2	35	NaN	49	26	28	4	62	30	38	31	55	27	33	64	57	45	67	
34	3	5	12	58	66	1	NaN	3	66	2	77	53	30	2	67	NaN	69	41	39	
5	NaN	46	2	NaN	76	NaN	NaN	84	NaN	82	45	31	NaN	56	30	66	54	35	34	
9	5	NaN	5	2	2	NaN	NaN	73	1	21	NaN	47	54	6	41	40	36	59	35	
8	56	14	48	4	66	49	2	2	40	35	53	22	33	61	52	61	25	59	51	
21	2	2	9	40	75	63	NaN	12	67	38	2	34	29	44	1	34	56	40	1	
59	5	10	4	42	48	4	NaN	86	44	1	36	36	36	42	2	31	23	32	27	
68	2	61	14	74	NaN	70	62	NaN	47	47	39	47	45	34	65	34	81	29	33	
4	4	40	NaN	NaN	32	41	9	28	56	22	36	29	65	NaN	35	52	67	37	48	
29	55	41	30	5	2	4	2	34	3	3	35	NaN	19	43	NaN	NaN	68	65	NaN	
33	3	3	64	8	2	36	17	2	58	70	21	NaN	67	33	47	35	47	75	30	
14	41	33	2	65	63	36	21	38	NaN	48	40	70	26	64	44	32	36	16	40	
37	3	NaN	NaN	82	28	3	NaN	71	46	20	41	59	25	51	32	27	65	27	30	
8	87	4	46	58	65	48	3	84	59	65	2	41	22	30	37	26	58	59	59	
6	4	73	2	65	73	3	75	35	72	NaN	75	36	22	3	64	57	84	35	45	
4	35	7	NaN	55	2	61	NaN	66	2	54	41	34	32	21	19	36	28	30	78	
29	2	1	NaN	NaN	82	NaN	2	37	NaN	53	2	72	33	19	25	50	NaN	83	37	
24	38	7	45	3	73	3	51	42	46	57	77	4	31	2	47	43	34	27	32	
6	NaN	78	1	68	10	1	56	1	73	1	29	32	42	31	31	48	35	26	24	
65	16	15	11	64	2	NaN	64	1	4	74	47	24	5	82	28	1	45	20	22	
10	28	4	NaN	73	8	6	2	38	60	24	2	72	5	46	14	34	25	51	23	
NaN	6	30	3	44	3	47	2	43	78	40	49	28	29	NaN	45	54	3	70	64	
40	5	1	8	71	3	2	79	37	47	2	34	27	62	71	3	25	3	79	56	
9	3	39	15	10	57	63	51	3	32	32	26	51	35	28	30	42	19	38	34	
7	38	31	53	20	55	3	66	NaN	76	16	30	NaN	29	61	49	26	34	38	20	
2	7	57	4	51	NaN	2	1	67	39	27	36	53	33	41	72	35	44	63	50	
8	64	NaN	2	NaN	53	2	66	2	72	67	59	74	19	23	42	46	42	67	47	
9	5	54	NaN	3	42	9	51	1	24	36	61	32	25	24	33	57	46	27	40	
14	2	2	62	4	57	34	1	79	NaN	57	3	37	37	59	24	23	31	26	28	
9	53	18	62	48	NaN	41	17	30	2	64	59	2	37	50	22	40	51	61	43	
10	4	7	21	85	2	2	30	32	37	NaN	47	25	26	3	31	50	50	59	82	
3	52	2	47	30	30	4	19	83	36	45	44	3	63	28	NaN	35	61	59	54	
36	3	8	1	62	4	5	2	82	NaN	43	2	57	35	4	51	NaN	1	25	47	
2	3	68	NaN	56	2	62	3	1	69	56	48	3	51	62	53	19	28	73	29	
13	5	76	2	6	67	46	55	3	77	NaN	36	20	48	57	61	38	41	66	46	
7	3	59	4	33	12	4	78	62	61	28	40	6	42	48	31	5	27	35	45	
42	13	73	2	1	67	29	27	NaN	86	55	25	42	25	71	36	44	55	24	46	
2	76	NaN	3	72	46	17	NaN	56	34	3	65	36	29	45	20	39	40	45	48	
47	46	9	2	2	62	NaN	66	58	20	NaN	50	44	61	62	38	33	20	58	33	
8	2	70	43	33	NaN	67	55	NaN	28	45	58	28	53	53	3	56	39	32	53	
20	5	3	3	75	63	35	25	3	49	22	2	15	39	3	36	49	35	61	73	
4	6	6	3	2	NaN	78	2	81	39	2	40	32	5	38	3	62	25	44	58	
4	55	69	55	14	47	31	2	53	55	36	62	70	69	37	53	21	29	70	45	
30	1	56	NaN	48	48	28	64	12	26	8	45	40	53	65	36	64	29	25	1	
7	36	2	58	58	3	30	27	18	27	19	62	31	38	3	51	27	43	47	28	
14	70	9	64	3	NaN	75	55	62	41	47	3	22	57	40	76	80	78	77	2	
22	NaN	NaN	1	72	NaN	73	2	68	71	13	NaN	53	31	63	31	40	NaN	65	46	
13	56	40	3	66	28	32	3	37	44	62	2	28	71	54	22	31	46	58	35	
8	2	3	33	2	62	NaN	40	61	49	46	50	54	53	36	51	48	55	20	29	
5	5	3	NaN	61	35	3	71	38	37	42	63	2	63	40	48	37	74	3	25	
42	3	35	1	62	60	43	47	23	47	21	45	24	41	37	36	53	28	21	39	
