30	32	23	50	36	87	83	80	64	88	NaN	54	38	90	NaN	55	63	48	77	67	
33	46	34	61	100	36	44	45	66	78	78	48	NaN	26	39	91	80	83	78	76	
22	34	31	64	53	47	58	57	34	56	93	57	75	85	75	NaN	64	92	58	55	
22	29	20	39	75	52	49	48	60	41	43	NaN	23	33	46	41	92	NaN	44	48	
64	46	32	39	37	34	64	35	73	74	86	71	50	NaN	43	98	67	93	76	71	
28	35	38	41	41	49	57	51	89	36	NaN	76	34	45	51	43	79	88	NaN	50	
73	43	23	32	38	56	61	43	53	58	41	60	71	78	74	44	79	65	83	88	
24	60	60	92	43	75	91	74	81	73	60	NaN	57	86	58	NaN	31	37	NaN	75	
50	39	79	35	97	89	53	43	47	52	89	NaN	53	59	53	72	35	47	NaN	33	
78	46	68	38	NaN	49	36	89	47	73	47	73	49	45	73	NaN	23	39	49	NaN	
77	43	42	46	54	46	NaN	56	35	60	64	37	NaN	NaN	39	76	NaN	39	72	NaN	
71	50	35	70	40	51	40	30	63	46	44	30	51	33	96	48	36	33	NaN	50	
38	53	22	27	55	62	65	92	84	99	85	84	91	43	NaN	53	53	NaN	38	NaN	
22	61	34	39	33	35	59	39	44	44	82	55	88	61	54	73	44	NaN	42	91	
34	36	58	97	25	35	53	84	66	85	78	98	93	83	67	51	58	63	NaN	91	
40	40	58	43	90	71	86	43	38	80	77	50	40	92	94	96	NaN	NaN	75	97	
42	32	60	27	42	75	55	67	50	65	91	93	45	NaN	62	90	NaN	32	81	88	
36	47	38	31	45	38	50	56	38	66	96	NaN	30	66	85	91	NaN	NaN	34	NaN	
31	45	62	34	38	35	87	98	81	61	79	NaN	87	NaN	53	62	85	83	NaN	92	
31	25	37	49	46	48	51	45	64	39	68	80	83	45	35	29	45	NaN	62	37	
29	58	35	87	65	51	61	49	43	52	59	46	76	73	43	NaN	95	NaN	NaN	NaN	
49	59	57	59	39	51	91	50	46	68	92	44	40	28	85	79	79	53	NaN	52	
51	39	33	53	24	46	51	54	50	92	NaN	23	56	70	82	29	52	50	88	83	
36	36	28	21	29	35	51	59	74	NaN	77	91	65	NaN	83	79	71	32	82	54	
22	23	46	22	32	55	48	38	45	28	55	49	62	52	45	73	64	NaN	35	64	
43	58	59	96	74	72	90	56	75	48	99	88	61	72	47	78	NaN	45	55	41	
37	83	46	53	33	60	41	91	59	NaN	58	45	NaN	62	77	NaN	46	NaN	52	NaN	
39	37	46	52	92	77	83	89	75	65	72	47	68	57	79	76	59	36	NaN	77	
47	33	25	30	39	62	60	40	44	54	38	51	53	27	69	28	42	32	NaN	32	
43	36	35	26	37	22	37	68	64	77	65	92	79	93	50	49	NaN	40	54	44	
35	60	40	45	43	35	86	76	54	NaN	52	NaN	87	52	60	52	59	NaN	79	NaN	
43	63	63	50	35	25	46	64	38	53	40	43	79	82	63	NaN	NaN	NaN	50	NaN	
47	48	46	52	44	46	40	40	32	55	NaN	53	80	NaN	72	NaN	NaN	42	91	NaN	
40	32	34	82	85	82	55	65	40	53	59	70	66	97	NaN	46	27	38	90	66	
38	32	52	51	36	34	26	39	69	NaN	22	82	51	53	51	91	78	NaN	39	87	
56	44	33	45	85	35	60	56	NaN	39	82	72	90	46	NaN	55	67	NaN	99	90	
38	35	35	62	50	23	95	71	59	NaN	53	44	NaN	52	NaN	47	67	NaN	87	64	
34	37	23	42	35	51	88	29	95	NaN	100	48	NaN	81	NaN	52	59	46	85	NaN	
34	20	48	41	44	68	40	45	31	84	NaN	53	85	NaN	38	32	NaN	26	95	NaN	
30	56	34	56	75	30	31	49	58	59	87	43	47	77	88	71	NaN	34	NaN	58	
40	36	28	36	33	29	32	53	82	53	44	57	77	97	44	43	49	68	NaN	46	
35	35	37	48	84	34	32	31	38	86	NaN	71	60	42	87	NaN	33	65	83	97	
39	67	63	35	26	57	70	59	53	31	81	46	72	34	87	52	78	72	46	78	
56	47	39	65	63	58	77	97	76	NaN	87	NaN	44	NaN	97	97	46	NaN	NaN	42	
38	34	67	33	23	38	74	30	95	54	46	53	61	65	86	86	NaN	42	36	36	
30	60	46	40	49	35	53	NaN	59	48	30	92	46	88	93	NaN	64	NaN	72	69	
28	53	45	40	34	36	NaN	84	40	94	56	NaN	44	59	87	70	NaN	54	61	58	
39	47	70	79	69	44	64	47	97	100	59	31	43	38	59	61	92	70	49	NaN	
57	64	33	42	49	46	42	100	86	82	73	NaN	40	NaN	34	75	NaN	NaN	24	94	
63	86	63	39	54	55	34	75	85	100	91	97	NaN	48	87	NaN	48	NaN	NaN	71	
55	89	46	45	40	61	59	63	45	47	57	64	55	24	34	58	97	72	42	NaN	
30	37	56	94	29	46	71	NaN	38	40	89	89	76	NaN	47	80	NaN	NaN	81	NaN	
43	64	89	52	25	49	31	28	52	57	52	NaN	88	NaN	NaN	60	36	47	100	NaN	
68	48	32	79	49	74	33	67	80	93	78	93	54	76	65	79	36	72	NaN	73	
31	30	58	40	47	56	61	62	38	33	52	100	26	33	32	73	71	65	NaN	48	
50	61	36	28	51	51	47	44	38	59	68	31	38	52	81	61	62	32	77	49	
67	44	30	35	65	92	29	42	50	49	38	90	84	50	93	49	NaN	NaN	55	NaN	
59	75	25	57	38	58	46	32	91	NaN	62	89	66	52	95	90	55	73	52	NaN	
29	35	43	46	34	48	32	35	86	73	84	92	86	NaN	67	49	90	NaN	73	NaN	
32	42	25	63	69	51	83	73	52	64	NaN	84	98	NaN	74	36	52	57	NaN	96	
56	51	28	43	32	36	34	49	30	42	80	95	78	50	88	47	47	35	79	63	
28	20	16	28	51	38	26	30	93	42	48	38	NaN	71	45	67	36	89	53	87	
41	55	48	28	30	41	30	31	56	28	100	56	71	84	NaN	47	NaN	60	30	74	
32	59	51	54	28	33	43	44	56	55	83	63	48	56	NaN	43	NaN	63	58	NaN	
26	29	31	77	39	43	52	50	68	59	60	69	49	83	87	NaN	60	79	NaN	77	
30	53	45	57	59	57	45	41	31	31	50	64	58	52	92	35	52	58	46	63	
43	47	55	39	36	63	50	73	79	56	71	56	69	75	71	NaN	98	86	NaN	69	
29	27	20	63	52	34	66	29	35	38	51	45	78	NaN	50	85	57	78	58	NaN	
26	72	31	52	96	61	53	45	49	87	70	71	NaN	46	34	44	NaN	NaN	58	40	
