NaN	39	65	77	87	NaN	NaN	56	43	99	NaN	94	NaN	NaN	91	NaN	NaN	NaN	NaN	NaN	
40	64	68	55	70	60	77	60	76	84	NaN	45	92	NaN	NaN	95	NaN	NaN	NaN	NaN	
26	32	84	96	90	NaN	54	54	NaN	NaN	98	NaN	96	NaN	98	NaN	NaN	37	NaN	NaN	
78	NaN	63	50	NaN	NaN	100	NaN	75	NaN	NaN	93	NaN	99	NaN	NaN	NaN	NaN	NaN	NaN	
78	64	NaN	46	NaN	NaN	54	99	NaN	94	NaN	96	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99	
83	74	NaN	79	NaN	91	NaN	86	NaN	49	NaN	NaN	95	NaN	NaN	NaN	NaN	NaN	96	NaN	
37	85	57	NaN	47	NaN	77	95	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92	NaN	NaN	NaN	
72	83	99	81	99	93	NaN	73	NaN	85	NaN	NaN	70	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
52	NaN	78	96	NaN	NaN	82	NaN	NaN	90	NaN	88	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
58	56	87	NaN	NaN	66	84	NaN	91	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92	NaN	NaN	NaN	
94	NaN	NaN	81	NaN	98	96	82	NaN	63	78	NaN	54	NaN	NaN	NaN	99	NaN	NaN	NaN	
68	NaN	32	NaN	58	94	91	70	NaN	89	NaN	NaN	87	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
43	73	NaN	NaN	79	86	95	NaN	NaN	NaN	93	NaN	NaN	95	NaN	NaN	NaN	NaN	94	NaN	
50	82	79	91	NaN	55	54	46	66	NaN	38	NaN	83	NaN	NaN	79	100	NaN	NaN	NaN	
57	71	86	100	90	NaN	84	86	62	93	95	NaN	98	NaN	NaN	92	NaN	NaN	NaN	100	
55	NaN	42	58	98	NaN	87	93	NaN	NaN	NaN	93	92	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
79	NaN	55	94	69	65	81	NaN	NaN	48	100	NaN	91	NaN	82	NaN	NaN	NaN	NaN	NaN	
60	90	NaN	91	NaN	38	NaN	NaN	37	80	NaN	NaN	51	97	NaN	48	NaN	NaN	NaN	100	
40	69	44	53	86	95	NaN	53	96	NaN	47	94	NaN	100	NaN	93	NaN	NaN	NaN	NaN	
NaN	41	98	NaN	NaN	62	98	NaN	86	70	97	NaN	98	NaN	100	NaN	50	NaN	NaN	NaN	
69	93	49	84	NaN	90	NaN	93	100	92	NaN	98	NaN	53	NaN	NaN	96	71	NaN	NaN	
50	NaN	NaN	NaN	66	95	91	NaN	NaN	40	NaN	92	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
38	37	93	NaN	92	NaN	92	NaN	NaN	89	96	NaN	NaN	98	NaN	NaN	NaN	53	NaN	NaN	
27	42	33	52	NaN	99	54	77	NaN	49	NaN	57	85	NaN	NaN	96	NaN	NaN	NaN	NaN	
50	NaN	64	94	95	NaN	NaN	NaN	NaN	40	49	NaN	NaN	88	NaN	NaN	NaN	NaN	NaN	NaN	
95	NaN	93	97	98	NaN	64	NaN	NaN	54	NaN	NaN	98	NaN	80	NaN	NaN	NaN	NaN	NaN	
31	NaN	81	71	58	NaN	NaN	NaN	NaN	NaN	NaN	42	88	NaN	77	93	NaN	80	NaN	NaN	
51	69	73	98	NaN	94	88	83	NaN	NaN	NaN	NaN	62	NaN	NaN	NaN	54	NaN	96	NaN	
55	67	69	95	NaN	60	100	NaN	83	NaN	NaN	NaN	NaN	96	NaN	NaN	NaN	NaN	NaN	NaN	
36	59	56	94	58	100	NaN	NaN	53	NaN	NaN	NaN	NaN	NaN	39	NaN	NaN	98	NaN	63	
32	40	43	94	NaN	77	NaN	NaN	96	100	NaN	NaN	NaN	NaN	95	NaN	NaN	NaN	NaN	NaN	
43	NaN	NaN	68	45	96	NaN	72	100	96	NaN	55	NaN	NaN	NaN	97	NaN	NaN	NaN	NaN	
NaN	39	NaN	40	70	NaN	62	NaN	NaN	100	89	NaN	44	NaN	NaN	NaN	NaN	NaN	98	NaN	
76	48	NaN	NaN	94	95	97	NaN	NaN	NaN	93	NaN	58	NaN	NaN	NaN	82	NaN	72	NaN	
79	NaN	NaN	86	72	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92	NaN	100	56	NaN	NaN	NaN	NaN	
47	87	54	NaN	41	68	NaN	78	NaN	NaN	NaN	100	NaN	88	NaN	92	NaN	NaN	NaN	79	
35	84	NaN	58	92	NaN	NaN	52	NaN	93	NaN	NaN	NaN	92	NaN	NaN	NaN	NaN	NaN	NaN	
43	34	20	46	53	100	80	NaN	55	52	NaN	NaN	NaN	78	NaN	NaN	99	NaN	NaN	NaN	
35	89	98	98	NaN	46	87	NaN	NaN	49	NaN	NaN	94	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
57	84	NaN	93	NaN	69	50	95	NaN	NaN	98	NaN	NaN	96	NaN	NaN	NaN	98	NaN	NaN	
48	83	77	95	NaN	62	NaN	NaN	95	NaN	93	NaN	94	NaN	NaN	81	NaN	51	NaN	NaN	
44	46	34	47	69	NaN	NaN	97	NaN	86	NaN	57	NaN	NaN	NaN	38	98	NaN	NaN	NaN	
41	57	55	90	65	91	NaN	31	77	71	NaN	100	NaN	45	NaN	NaN	79	NaN	NaN	NaN	
36	71	NaN	28	95	NaN	NaN	99	NaN	66	96	NaN	NaN	95	99	93	NaN	NaN	NaN	83	
NaN	NaN	NaN	98	NaN	70	NaN	87	NaN	NaN	NaN	NaN	NaN	NaN	92	NaN	NaN	NaN	NaN	NaN	
56	NaN	91	95	48	69	94	NaN	50	NaN	NaN	97	NaN	NaN	60	NaN	NaN	NaN	94	NaN	
26	78	40	98	40	NaN	79	95	47	66	48	49	93	52	NaN	78	94	NaN	97	NaN	
48	40	NaN	91	NaN	95	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58	NaN	NaN	
51	99	49	97	NaN	71	98	NaN	NaN	57	NaN	100	NaN	NaN	NaN	94	NaN	NaN	NaN	NaN	
51	49	63	99	NaN	31	36	98	NaN	94	99	NaN	100	88	NaN	88	NaN	NaN	NaN	NaN	
61	84	99	90	92	NaN	86	NaN	86	100	NaN	56	89	NaN	80	98	NaN	55	57	NaN	
NaN	NaN	88	NaN	90	NaN	89	NaN	100	NaN	100	NaN	NaN	NaN	57	NaN	NaN	NaN	60	NaN	
38	55	NaN	72	NaN	73	NaN	NaN	51	NaN	75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
44	86	92	NaN	NaN	60	NaN	38	NaN	94	NaN	NaN	NaN	NaN	98	NaN	NaN	NaN	NaN	NaN	
37	NaN	NaN	50	52	100	NaN	79	NaN	39	89	NaN	NaN	89	NaN	NaN	79	NaN	NaN	NaN	
57	63	40	53	96	41	NaN	NaN	83	90	49	NaN	NaN	NaN	NaN	92	NaN	73	87	NaN	
46	99	99	100	97	NaN	97	67	NaN	NaN	NaN	NaN	NaN	23	NaN	NaN	NaN	NaN	NaN	NaN	
88	98	86	NaN	67	53	NaN	41	97	NaN	92	NaN	NaN	78	NaN	NaN	NaN	NaN	NaN	NaN	
38	94	99	96	65	91	96	NaN	98	NaN	85	92	100	98	92	NaN	NaN	NaN	NaN	91	
45	72	62	59	92	NaN	55	94	96	NaN	62	100	NaN	NaN	52	NaN	NaN	NaN	NaN	NaN	
49	89	82	NaN	95	NaN	78	NaN	NaN	53	72	NaN	NaN	63	93	NaN	NaN	NaN	NaN	NaN	
34	66	99	75	88	80	96	79	NaN	62	96	90	NaN	NaN	NaN	96	79	NaN	NaN	100	
35	50	91	55	95	93	86	90	75	NaN	NaN	55	96	NaN	NaN	65	84	NaN	NaN	NaN	
67	85	98	100	89	NaN	93	NaN	32	89	NaN	NaN	82	98	NaN	89	NaN	NaN	NaN	NaN	
65	95	NaN	57	96	96	NaN	NaN	66	NaN	96	NaN	85	NaN	NaN	NaN	73	NaN	NaN	NaN	
NaN	30	47	95	97	89	98	65	NaN	100	NaN	NaN	NaN	98	NaN	NaN	NaN	95	NaN	NaN	
71	NaN	82	92	NaN	NaN	95	NaN	94	NaN	NaN	NaN	NaN	NaN	NaN	98	NaN	NaN	NaN	NaN	
48	NaN	43	97	NaN	NaN	NaN	97	84	NaN	99	NaN	98	98	NaN	NaN	NaN	NaN	NaN	NaN	
55	55	81	95	NaN	98	NaN	95	NaN	61	NaN	99	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
76	83	81	83	96	75	57	92	94	NaN	98	83	NaN	62	NaN	NaN	NaN	NaN	93	NaN	
60	69	47	97	55	85	95	NaN	39	NaN	88	NaN	42	NaN	NaN	NaN	54	NaN	NaN	NaN	
57	45	NaN	47	93	98	NaN	NaN	79	NaN	NaN	95	NaN	97	70	NaN	NaN	NaN	NaN	NaN	
76	NaN	65	NaN	49	NaN	87	NaN	NaN	99	NaN	NaN	NaN	NaN	NaN	57	NaN	NaN	NaN	NaN	
77	88	NaN	35	94	NaN	99	NaN	92	NaN	NaN	NaN	NaN	NaN	NaN	95	NaN	NaN	NaN	NaN	
35	31	99	83	93	NaN	NaN	98	80	NaN	87	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
NaN	NaN	46	NaN	90	100	92	NaN	NaN	92	NaN	NaN	NaN	NaN	NaN	98	NaN	NaN	NaN	NaN	
90	NaN	74	NaN	89	85	NaN	NaN	NaN	47	NaN	94	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
88	95	76	44	88	NaN	66	NaN	91	NaN	NaN	46	NaN	80	NaN	NaN	NaN	NaN	NaN	NaN	
95	NaN	74	84	NaN	NaN	96	94	NaN	NaN	NaN	52	79	87	NaN	NaN	NaN	NaN	NaN	NaN	
36	NaN	100	88	99	NaN	NaN	53	NaN	NaN	86	NaN	81	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
30	96	NaN	35	92	70	61	NaN	60	NaN	73	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	
47	84	91	96	NaN	97	98	98	97	97	74	NaN	NaN	68	NaN	66	NaN	NaN	NaN	100	
46	NaN	28	NaN	100	84	80	NaN	NaN	95	NaN	99	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
92	69	83	93	NaN	58	77	NaN	62	NaN	69	100	NaN	97	NaN	NaN	NaN	90	NaN	NaN	
98	88	NaN	95	NaN	91	NaN	75	95	NaN	83	NaN	91	88	NaN	NaN	NaN	NaN	NaN	NaN	
NaN	54	NaN	86	65	NaN	NaN	76	NaN	96	NaN	96	NaN	NaN	NaN	NaN	NaN	100	NaN	97	
NaN	46	91	91	83	90	68	80	NaN	94	NaN	NaN	NaN	NaN	97	NaN	NaN	NaN	NaN	NaN	
35	71	60	57	94	72	65	98	91	NaN	96	NaN	100	NaN	NaN	NaN	NaN	87	NaN	NaN	
28	66	NaN	95	98	NaN	50	NaN	NaN	NaN	60	NaN	NaN	NaN	NaN	89	NaN	81	NaN	NaN	
62	NaN	90	NaN	89	98	NaN	100	96	NaN	91	NaN	100	NaN	NaN	NaN	NaN	NaN	78	NaN	
36	58	63	72	96	68	82	51	82	NaN	NaN	92	NaN	NaN	87	NaN	NaN	NaN	NaN	46	
59	NaN	NaN	NaN	43	97	91	NaN	NaN	98	NaN	70	NaN	60	NaN	NaN	NaN	NaN	NaN	NaN	
NaN	52	68	NaN	100	96	NaN	NaN	78	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
35	50	NaN	91	54	65	83	91	95	NaN	50	91	NaN	61	54	NaN	NaN	NaN	NaN	89	
80	88	NaN	NaN	40	88	NaN	100	NaN	NaN	NaN	95	NaN	NaN	91	92	NaN	NaN	NaN	NaN	
64	69	NaN	76	81	NaN	56	97	89	NaN	76	NaN	95	NaN	NaN	NaN	NaN	NaN	100	84	
NaN	55	NaN	74	77	NaN	64	NaN	NaN	93	NaN	72	NaN	NaN	NaN	83	NaN	NaN	98	NaN	
55	34	90	97	77	NaN	NaN	91	NaN	84	NaN	75	88	NaN	NaN	92	NaN	NaN	NaN	NaN	
95	96	90	NaN	56	47	NaN	100	NaN	NaN	NaN	62	NaN	83	NaN	93	NaN	NaN	NaN	NaN	
42	34	46	41	83	99	NaN	NaN	NaN	72	NaN	86	NaN	NaN	NaN	91	NaN	NaN	NaN	95	
