20	41	17	11	24	11	13	13	13	17	18	17	10	9	7	7	10	13	13	9	
21	37	12	24	12	14	7	12	16	28	22	14	10	12	9	3	8	9	5	14	
18	20	28	21	21	30	40	14	15	32	23	33	2	8	10	22	12	14	40	4	
24	30	24	41	42	26	11	18	19	28	13	10	21	5	15	26	3	8	13	12	
60	59	28	11	15	25	6	23	15	13	1	5	8	6	8	15	9	15	10	12	
13	10	23	10	11	29	22	5	13	16	23	15	22	11	16	24	5	4	6	8	
17	45	34	20	29	14	15	21	28	4	5	11	24	27	2	11	9	8	13	5	
63	33	35	38	39	17	14	33	31	40	39	23	3	7	7	16	11	8	18	2	
66	13	21	30	16	14	47	36	39	20	21	18	2	14	35	32	1	6	10	9	
38	19	24	34	9	15	14	9	5	6	17	6	21	5	11	9	16	8	9	17	
44	25	25	56	47	40	22	24	37	10	14	17	23	3	4	6	17	8	16	17	
57	27	10	15	54	24	34	45	21	28	3	15	17	20	0	27	2	5	25	30	
23	29	27	41	14	26	21	27	16	26	18	27	19	25	1	9	9	14	7	11	
9	14	20	36	20	10	25	27	21	29	12	18	24	13	9	7	7	8	20	21	
22	58	38	23	23	5	10	11	7	9	14	37	6	10	7	11	21	2	5	9	
44	17	17	17	39	20	21	14	24	18	18	40	26	32	19	14	1	30	3	5	
20	28	45	19	19	34	23	17	6	10	8	24	15	22	2	8	8	15	20	25	
19	15	25	15	11	20	26	25	15	27	32	28	3	7	13	5	10	19	4	12	
16	15	12	12	12	11	17	47	2	7	11	19	16	18	30	3	7	10	9	8	
29	28	27	15	12	19	29	14	15	20	15	16	23	8	16	5	14	9	20	17	
32	16	8	16	20	23	11	14	5	13	10	34	19	10	14	26	22	32	28	22	
26	40	27	18	9	19	30	13	35	24	20	7	13	21	16	15	18	20	21	17	
34	11	16	10	12	35	9	14	9	4	15	9	5	10	32	13	10	7	13	13	
22	18	16	29	13	12	17	6	20	20	30	18	20	23	9	27	17	12	10	2	
73	20	40	20	38	34	37	12	23	16	34	17	46	2	6	9	17	23	2	11	
78	32	13	11	12	22	13	9	15	19	6	8	13	17	26	3	7	31	4	6	
100	54	84	31	18	19	16	18	16	11	18	25	3	18	40	2	12	10	34	32	
25	50	54	25	42	33	20	30	43	51	2	8	13	3	5	8	5	13	18	23	
44	35	32	32	30	29	25	55	21	34	30	2	15	12	31	0	17	25	1	8	
15	23	15	18	24	14	7	15	17	27	18	8	33	34	28	17	30	19	16	12	
27	9	10	100	26	35	21	17	20	16	22	3	8	41	4	16	2	16	23	16	
14	14	20	27	10	25	7	18	8	6	10	6	6	5	14	9	4	11	11	8	
12	13	31	23	10	16	10	15	16	18	14	13	11	26	15	12	24	23	22	10	
49	37	17	18	45	50	45	2	19	11	23	11	9	19	28	2	4	12	15	4	
29	11	34	18	19	13	21	13	5	6	9	8	8	8	11	18	10	5	7	11	
19	91	6	22	51	24	28	31	33	25	5	21	23	3	10	12	2	9	16	20	
15	16	14	9	11	23	14	46	2	14	8	5	13	30	26	2	5	7	7	6	
27	30	22	21	26	19	15	42	33	26	22	2	18	13	11	32	18	29	22	4	
34	53	21	26	58	46	28	36	20	1	16	12	13	3	13	21	2	17	46	2	
