78	96	83	67	68	73	3	59	1	58	3	26	40	5	11	35	33	1	4	40	
58	62	10	62	21	46	68	40	5	40	2	20	16	2	16	2	8	32	14	3	
80	4	80	3	54	39	39	42	2	33	1	23	2	15	19	30	2	20	28	1	
100	70	100	4	3	64	45	45	80	57	1	25	3	3	12	3	35	2	21	2	
37	25	66	2	100	59	3	42	4	28	40	41	1	34	2	11	27	1	11	23	
100	93	36	65	68	6	29	42	35	4	7	10	42	2	18	3	18	2	16	25	
52	97	96	42	1	65	4	74	1	26	1	15	2	4	23	1	31	1	15	19	
67	5	27	3	23	33	34	38	68	35	2	9	16	32	1	6	17	10	23	1	
86	31	60	4	32	35	22	28	37	12	24	26	34	4	30	2	11	54	1	12	
100	10	100	100	4	5	28	21	49	43	1	2	13	3	26	3	10	2	21	2	
96	83	100	5	52	33	82	2	27	24	16	22	4	33	2	15	20	4	18	33	
100	4	67	92	66	6	47	20	1	76	0	42	42	2	17	1	28	1	32	30	
56	39	46	91	68	43	43	39	71	1	5	45	2	17	1	12	20	4	23	2	
78	100	54	100	47	3	18	38	3	24	34	3	36	5	21	3	12	29	1	28	
84	100	100	95	1	48	49	2	50	3	39	1	3	27	2	3	3	13	1	15	
88	100	5	63	45	33	7	27	27	31	25	29	3	42	1	46	2	25	38	23	
100	91	69	89	58	26	76	5	22	62	2	29	2	15	26	1	17	24	2	17	
100	57	100	4	3	27	57	83	70	1	56	1	47	1	2	15	0	20	1	3	
100	93	6	24	2	52	2	41	1	4	21	4	37	3	41	2	27	4	30	2	
91	3	31	74	48	50	40	3	30	22	5	12	20	42	29	1	4	3	13	2	
54	100	73	53	69	2	24	18	2	22	32	34	2	5	34	1	5	49	1	38	
100	10	75	100	11	3	42	2	45	3	37	41	3	41	1	50	1	3	60	2	
100	78	100	67	44	47	3	3	39	44	4	24	1	20	26	1	2	16	1	14	
86	100	73	86	36	50	38	33	1	27	2	23	2	30	1	3	5	19	15	12	
30	100	60	40	65	29	57	44	2	22	2	26	6	14	15	20	21	1	24	2	
78	52	1	75	81	76	1	32	36	30	45	4	20	59	1	25	1	8	19	2	
98	42	90	64	85	64	2	55	55	3	30	1	29	1	16	4	6	11	25	1	
85	69	56	100	3	46	50	60	5	24	41	5	26	24	25	1	13	1	7	15	
100	8	100	4	64	43	2	4	12	20	2	14	3	31	3	22	1	22	29	31	
100	100	6	65	3	48	64	0	48	1	3	36	1	44	1	17	1	11	28	1	
100	37	33	7	40	68	39	2	24	55	1	2	23	48	1	22	42	1	43	1	
82	86	100	68	76	45	41	3	3	16	47	2	26	1	25	2	8	17	49	1	
64	34	70	76	66	3	13	51	50	37	1	4	29	21	32	29	2	18	1	50	
82	27	100	97	1	60	2	40	6	51	30	3	35	2	50	1	21	1	30	0	
69	53	21	57	100	3	28	12	48	35	34	5	32	30	2	14	1	12	35	37	
100	100	100	66	72	46	59	3	49	42	35	1	20	1	38	5	12	21	3	15	
44	36	87	4	51	3	79	4	36	63	1	41	29	2	16	32	2	25	22	34	
88	77	74	42	1	48	15	46	54	3	27	2	1	5	2	17	3	24	0	24	
100	100	67	70	65	2	18	57	2	59	1	31	2	34	1	37	2	2	12	2	
98	97	83	73	29	4	38	57	38	42	3	25	33	2	37	2	15	27	1	2	
100	71	99	70	56	32	71	68	41	1	14	27	48	1	21	30	3	23	37	1	
80	9	77	68	2	37	31	4	28	37	43	0	38	29	2	26	2	20	2	19	
100	67	52	100	2	4	59	49	27	71	58	40	25	6	16	1	22	1	25	1	
36	48	100	100	9	4	27	3	18	2	29	36	2	28	36	1	27	2	3	14	
100	64	100	100	3	46	4	11	17	41	5	2	17	13	22	1	19	1	38	2	
51	7	44	23	25	35	32	63	1	39	2	30	2	21	28	2	18	20	25	35	
44	66	33	40	40	38	48	5	18	30	28	19	30	35	2	9	17	17	21	17	
54	28	53	68	51	67	58	3	18	28	27	36	2	25	45	2	32	1	16	14	
57	57	41	47	3	37	50	3	5	37	1	23	1	3	4	31	1	20	25	25	
97	100	94	59	5	73	4	5	21	33	40	4	52	1	4	39	3	19	29	1	
100	72	36	95	72	3	34	2	35	34	28	22	1	16	17	56	0	14	15	2	
69	100	77	5	52	31	65	41	66	31	50	3	22	4	31	1	14	34	2	3	
100	100	100	67	52	56	2	30	45	1	27	24	50	3	13	21	19	34	1	9	
84	44	100	56	79	2	66	1	28	46	49	1	41	38	3	25	2	14	21	2	
99	45	35	38	44	89	1	6	33	1	36	1	17	1	26	1	11	2	16	24	
100	100	100	2	100	59	56	5	49	3	42	2	2	47	37	0	18	1	10	35	
58	71	67	50	52	5	42	27	40	47	4	15	44	34	4	33	2	17	4	18	
100	100	2	100	1	3	72	1	27	1	18	43	0	45	1	4	28	1	3	17	
86	43	100	100	4	52	49	24	30	27	1	49	3	17	2	30	2	9	38	2	
60	46	2	59	52	37	1	42	3	24	2	31	1	22	2	36	2	2	10	1	
66	32	49	100	52	73	35	50	45	3	21	28	2	12	20	51	42	4	26	2	
73	100	22	69	96	1	72	2	25	3	21	6	37	32	2	19	30	1	15	25	
58	100	100	100	52	57	46	5	54	1	16	17	15	14	2	24	1	20	32	1	
49	41	32	31	40	79	3	29	43	47	31	16	1	29	32	1	12	19	14	14	
100	100	63	65	44	41	59	81	3	22	1	43	1	31	1	18	2	17	1	13	
100	5	100	68	2	86	2	100	2	63	55	2	47	0	16	2	2	2	2	32	
56	82	100	31	3	27	38	1	12	41	2	24	26	1	3	4	23	2	14	32	
5	100	5	63	2	26	63	3	7	28	1	30	1	2	20	2	20	3	17	20	
40	44	2	84	2	32	45	2	26	1	26	2	2	21	1	40	3	14	1	23	
100	100	100	7	72	52	63	3	17	2	32	2	33	2	21	2	20	1	19	25	
