0 112 -104
1 38 104
2 35 104
3 66 104
4 83 104
5 49 104
6 23 -104
7 23 104
8 41 -104
9 124 104
10 58 -104
11 82 104
12 34 104
13 48 -104
14 25 -104
15 28 104
16 52 -104
17 12 104
18 21 104
19 9 -104
20 25 104
21 72 104
22 11 -104
23 11 104
24 39 104
25 66 104
26 24 104
27 32 104
28 30 104
29 28 104
30 78 104
31 68 104
32 46 -104
33 95 -104
34 39 104
35 36 104
36 9 -104
37 104 104
38 18 104
39 44 104
40 44 104
41 21 -104
42 22 -104
43 19 104
44 114 -104
45 18 104
46 81 104
47 64 104
48 56 -104
49 48 -104
50 19 -104
51 31 -104
52 44 104
53 55 -104
54 53 104
55 122 -104
56 8 104
57 9 -104
58 52 -104
59 26 -104
60 25 -104
61 81 -104
62 24 104
63 60 104
64 74 104
65 59 -104
66 88 104
67 36 -104
68 51 -104
69 70 104
70 42 -104
71 121 104
72 12 -104
73 50 104
74 56 -104
75 10 104
76 48 104
77 71 104
78 47 104
79 63 104
80 49 -104
81 76 104
82 42 104
83 33 -104
84 158 104
85 26 104
86 94 104
87 167 104
88 107 104
89 93 104
90 45 -104
91 105 104
92 155 -104
93 62 -104
94 77 -104
95 14 -104
96 31 -104
97 28 -104
98 91 104
99 57 104
