0 NaN
1 2984 0
2 NaN
3 1606 0
4 129 0
5 5132 0
6 3510 0
7 236 0
8 816 0
9 801 0
10 231 0
11 4085 0
12 231 0
13 NaN
14 7299 0
15 5037 0
16 1117 0
17 NaN
18 NaN
19 3006 0
20 4003 0
21 6638 0
22 3994 0
23 NaN
24 1363 0
25 5513 0
26 792 0
27 4743 0
28 NaN
29 348 0
30 5544 0
31 1414 0
32 1198 0
33 2867 0
34 NaN
35 82 0
36 400 0
37 5351 0
38 2159 0
39 4229 0
40 1294 0
41 6449 0
42 2601 0
43 2300 0
44 1989 0
45 2417 0
46 NaN
47 5464 0
48 4187 0
49 1095 0
50 2358 0
51 1067 0
52 284 0
53 3391 0
54 NaN
55 2823 0
56 5173 0
57 367 0
58 6563 0
59 1490 0
60 26 0
61 2392 0
62 NaN
63 4506 0
64 2655 0
65 NaN
66 NaN
67 2354 0
68 2468 0
69 NaN
70 1317 0
71 2822 0
72 710 0
73 NaN
74 26 0
75 960 0
76 438 0
77 NaN
78 391 0
79 5612 0
80 137 0
81 122 0
82 820 0
83 6211 0
84 3228 0
85 NaN
86 3547 0
87 1433 0
88 4686 0
89 2517 0
90 844 0
91 703 0
92 6210 0
93 5993 0
94 858 0
95 1278 0
96 3412 0
97 393 0
98 2872 0
99 NaN
