0 NaN
1 990 0
2 5590 0
3 1452 0
4 NaN
5 6777 0
6 4798 0
7 2991 0
8 NaN
9 NaN
10 2312 0
11 4817 0
12 2686 0
13 605 0
14 1079 0
15 NaN
16 744 0
17 4250 0
18 2506 0
19 3248 0
20 572 0
21 6003 0
22 61 0
23 60 0
24 443 0
25 554 0
26 603 0
27 1973 0
28 1212 0
29 1168 0
30 NaN
31 5082 0
32 5491 0
33 3965 0
34 2560 0
35 1730 0
36 232 0
37 564 0
38 4704 0
39 4183 0
40 4810 0
41 2818 0
42 NaN
43 NaN
44 1099 0
45 2824 0
46 459 0
47 1615 0
48 4647 0
49 4716 0
50 1541 0
51 NaN
52 NaN
53 5618 0
54 3195 0
55 5403 0
56 1518 0
57 2434 0
58 67 0
59 282 0
60 532 0
61 2113 0
62 2914 0
63 NaN
64 1380 0
65 4091 0
66 1289 0
67 NaN
68 NaN
69 4305 0
70 NaN
71 379 0
72 6119 0
73 2726 0
74 4956 0
75 6627 0
76 2559 0
77 6431 0
78 3228 0
79 6577 0
80 143 0
81 3155 0
82 5202 0
83 2233 0
84 3982 0
85 4789 0
86 NaN
87 NaN
88 NaN
89 1163 0
90 1620 0
91 815 0
92 NaN
93 2287 0
94 242 0
95 3212 0
96 1196 0
97 NaN
98 NaN
99 2533 0
