0 NaN
1 2279 0
2 1360 0
3 7284 0
4 2948 0
5 1265 0
6 NaN
7 3232 0
8 1807 0
9 655 0
10 2825 0
11 4504 0
12 2348 0
13 5999 0
14 3205 0
15 4189 0
16 6467 0
17 2156 0
18 NaN
19 1510 0
20 393 0
21 2194 0
22 4843 0
23 2297 0
24 4310 0
25 NaN
26 3261 0
27 3184 0
28 1387 0
29 5671 0
30 1589 0
31 NaN
32 7024 0
33 22 0
34 5019 0
35 1395 0
36 2550 0
37 6816 0
38 1958 0
39 NaN
40 5731 0
41 2791 0
42 6076 0
43 2641 0
44 3088 0
45 4756 0
46 1619 0
47 NaN
48 NaN
49 405 0
50 1398 0
51 NaN
52 NaN
53 12 0
54 2635 0
55 6313 0
56 667 0
57 NaN
58 3977 0
59 3121 0
60 4042 0
61 2046 0
62 644 0
63 558 0
64 NaN
65 873 0
66 4817 0
67 6310 0
68 NaN
69 4942 0
70 1764 0
71 2526 0
72 3847 0
73 579 0
74 1420 0
75 3240 0
76 1409 0
77 3014 0
78 NaN
79 1833 0
80 113 0
81 6501 0
82 727 0
83 NaN
84 278 0
85 NaN
86 5066 0
87 5705 0
88 3852 0
89 3629 0
90 1830 0
91 977 0
92 1536 0
93 706 0
94 4856 0
95 3059 0
96 3048 0
97 4857 0
98 NaN
99 1333 0
