0 NaN
1 3240 0
2 1978 0
3 2151 0
4 NaN
5 5252 0
6 411 0
7 256 0
8 5050 0
9 2942 0
10 2117 0
11 2428 0
12 2403 0
13 6746 0
14 2743 0
15 1187 0
16 2380 0
17 1290 0
18 6228 0
19 452 0
20 303 0
21 5945 0
22 1488 0
23 994 0
24 1228 0
25 4392 0
26 NaN
27 3515 0
28 3436 0
29 3612 0
30 562 0
31 7278 0
32 2201 0
33 4336 0
34 1386 0
35 596 0
36 1003 0
37 4054 0
38 1395 0
39 1142 0
40 6564 0
41 3289 0
42 2632 0
43 3794 0
44 1439 0
45 NaN
46 5272 0
47 NaN
48 3090 0
49 1908 0
50 993 0
51 1262 0
52 7455 0
53 1923 0
54 2452 0
55 2857 0
56 224 0
57 4154 0
58 54 0
59 NaN
60 1698 0
61 7090 0
62 2233 0
63 4738 0
64 35 0
65 2439 0
66 862 0
67 5548 0
68 NaN
69 3183 0
70 4814 0
71 654 0
72 NaN
73 4809 0
74 5130 0
75 3694 0
76 2176 0
77 149 0
78 2590 0
79 967 0
80 288 0
81 5526 0
82 230 0
83 5150 0
84 5592 0
85 2294 0
86 NaN
87 474 0
88 NaN
89 2063 0
90 3324 0
91 NaN
92 68 0
93 1363 0
94 868 0
95 1015 0
96 NaN
97 958 0
98 NaN
99 4103 0
