0 NaN
1 3289 0
2 6304 0
3 2104 0
4 NaN
5 119 0
6 NaN
7 4914 0
8 7038 0
9 848 0
10 3764 0
11 NaN
12 1989 0
13 108 0
14 NaN
15 5706 0
16 NaN
17 1338 0
18 NaN
19 NaN
20 2282 0
21 519 0
22 1932 0
23 1515 0
24 1622 0
25 4871 0
26 NaN
27 2824 0
28 NaN
29 596 0
30 3706 0
31 4660 0
32 802 0
33 1533 0
34 NaN
35 2828 0
36 NaN
37 3415 0
38 901 0
39 3245 0
40 NaN
41 4122 0
42 3598 0
43 NaN
44 1157 0
45 5808 0
46 NaN
47 6787 0
48 2325 0
49 3551 0
50 134 0
51 2076 0
52 5086 0
53 1560 0
54 4420 0
55 6303 0
56 7600 0
57 4190 0
58 1731 0
59 NaN
60 NaN
61 2533 0
62 5799 0
63 3352 0
64 6228 0
65 247 0
66 NaN
67 NaN
68 NaN
69 968 0
70 3027 0
71 624 0
72 7711 0
73 6996 0
74 4639 0
75 NaN
76 3695 0
77 1206 0
78 463 0
79 3558 0
80 2037 0
81 1301 0
82 770 0
83 NaN
84 916 0
85 2460 0
86 5917 0
87 541 0
88 2528 0
89 5720 0
90 1917 0
91 NaN
92 78 0
93 NaN
94 NaN
95 7397 0
96 1162 0
97 3429 0
98 2904 0
99 2607 0
