0 NaN
1 400 0
2 NaN
3 1661 0
4 7631 0
5 NaN
6 518 0
7 4036 0
8 3843 0
9 55 0
10 2356 0
11 NaN
12 NaN
13 2930 0
14 462 0
15 2373 0
16 NaN
17 NaN
18 2360 0
19 NaN
20 6050 0
21 805 0
22 5532 0
23 7490 0
24 NaN
25 NaN
26 3807 0
27 6755 0
28 1479 0
29 5831 0
30 6313 0
31 3445 0
32 NaN
33 NaN
34 176 0
35 486 0
36 4450 0
37 3931 0
38 4090 0
39 362 0
40 411 0
41 928 0
42 3085 0
43 2488 0
44 2933 0
45 1510 0
46 5533 0
47 441 0
48 NaN
49 854 0
50 NaN
51 NaN
52 NaN
53 NaN
54 3899 0
55 199 0
56 3941 0
57 4738 0
58 NaN
59 NaN
60 4129 0
61 313 0
62 5226 0
63 6287 0
64 NaN
65 1578 0
66 NaN
67 NaN
68 343 0
69 1629 0
70 NaN
71 NaN
72 99 0
73 2590 0
74 1110 0
75 1247 0
76 NaN
77 68 0
78 508 0
79 5980 0
80 78 0
81 3207 0
82 4464 0
83 550 0
84 NaN
85 3507 0
86 NaN
87 396 0
88 NaN
89 NaN
90 4896 0
91 1301 0
92 3664 0
93 3307 0
94 1298 0
95 96 0
96 5601 0
97 2933 0
98 NaN
99 NaN
