0 NaN
1 NaN
2 NaN
3 NaN
4 NaN
5 833 0
6 NaN
7 1381 0
8 NaN
9 2330 0
10 NaN
11 NaN
12 NaN
13 5263 0
14 NaN
15 NaN
16 748 0
17 NaN
18 4607 0
19 6824 0
20 NaN
21 NaN
22 NaN
23 3016 0
24 2692 0
25 NaN
26 NaN
27 NaN
28 NaN
29 NaN
30 5843 0
31 NaN
32 NaN
33 NaN
34 NaN
35 NaN
36 5481 0
37 85 0
38 NaN
39 2719 0
40 NaN
41 NaN
42 NaN
43 NaN
44 NaN
45 5813 0
46 NaN
47 5294 0
48 NaN
49 6602 0
50 NaN
51 73 0
52 NaN
53 NaN
54 780 0
55 NaN
56 NaN
57 NaN
58 NaN
59 NaN
60 NaN
61 NaN
62 7051 0
63 2441 0
64 3991 0
65 1199 0
66 NaN
67 6248 0
68 NaN
69 NaN
70 2640 0
71 NaN
72 6177 0
73 NaN
74 5453 0
75 NaN
76 NaN
77 NaN
78 NaN
79 3519 0
80 NaN
81 NaN
82 NaN
83 805 0
84 4972 0
85 NaN
86 NaN
87 NaN
88 NaN
89 5957 0
90 5968 0
91 1999 0
92 NaN
93 NaN
94 NaN
95 NaN
96 6263 0
97 NaN
98 NaN
99 NaN
