0 NaN
1 850 104
2 977 -104
3 2814 104
4 2984 104
5 6603 -104
6 2791 -104
7 NaN
8 5585 104
9 NaN
10 5475 -104
11 1770 104
12 3310 104
13 1904 104
14 998 104
15 5805 -104
16 NaN
17 NaN
18 NaN
19 1566 104
20 5419 104
21 5002 -104
22 4542 104
23 6942 104
24 NaN
25 4008 104
26 NaN
27 NaN
28 NaN
29 NaN
30 1335 -104
31 1321 104
32 3671 104
33 2226 104
34 NaN
35 5869 104
36 3830 104
37 528 -104
38 3176 -104
39 7590 -104
40 2596 -104
41 1416 -104
42 2435 -104
43 6847 -104
44 2472 104
45 6131 -104
46 1551 -104
47 6973 104
48 NaN
49 2775 104
50 NaN
51 1440 -104
52 7277 -104
53 NaN
54 1983 104
55 4768 104
56 NaN
57 NaN
58 758 -104
59 2955 104
60 NaN
61 1136 -104
62 185 104
63 5486 104
64 5812 104
65 3728 -104
66 327 -104
67 6299 -104
68 1568 -104
69 2170 104
70 5463 -104
71 2581 104
72 2301 -104
73 NaN
74 112 -104
75 3156 104
76 7336 104
77 6000 -104
78 1353 -104
79 4479 104
80 NaN
81 3765 104
82 1735 -104
83 4015 -104
84 654 -104
85 NaN
86 3143 104
87 352 104
88 6644 -104
89 NaN
90 1411 -104
91 NaN
92 1140 104
93 1615 -104
94 NaN
95 356 104
96 1357 104
97 5432 -104
98 2600 104
99 3258 104
