0 NaN
1 2123 -104
2 1547 104
3 449 104
4 1279 -104
5 4950 104
6 NaN
7 5068 104
8 1944 104
9 NaN
10 709 104
11 6476 104
12 NaN
13 388 104
14 NaN
15 4985 104
16 937 104
17 434 -104
18 177 -104
19 NaN
20 2946 104
21 55 104
22 4230 -104
23 3983 -104
24 NaN
25 205 104
26 2235 -104
27 5032 -104
28 1615 104
29 1866 104
30 NaN
31 2677 104
32 3222 104
33 1293 104
34 1040 -104
35 6047 104
36 NaN
37 1199 104
38 6439 104
39 7335 104
40 3578 104
41 1728 104
42 5116 -104
43 NaN
44 2383 104
45 NaN
46 NaN
47 4483 104
48 2767 104
49 NaN
50 182 104
51 6705 104
52 915 104
53 NaN
54 3901 -104
55 5202 104
56 358 -104
57 829 -104
58 514 -104
59 4170 -104
60 2040 104
61 2819 -104
62 NaN
63 363 104
64 4319 104
65 1667 -104
66 2775 -104
67 NaN
68 2969 104
69 1903 104
70 2691 104
71 560 104
72 2427 104
73 6474 104
74 7129 104
75 1547 104
76 279 -104
77 1071 104
78 5804 -104
79 1689 -104
80 1423 104
81 1619 -104
82 NaN
83 273 -104
84 3107 104
85 582 104
86 7129 -104
87 NaN
88 6250 104
89 NaN
90 2302 -104
91 3370 104
92 2378 104
93 983 -104
94 3704 -104
95 7059 104
96 541 -104
97 NaN
98 2986 104
99 2955 104
