0 NaN
1 1288 104
2 NaN
3 NaN
4 6156 -104
5 1293 -104
6 NaN
7 4423 104
8 4986 104
9 6122 104
10 NaN
11 4933 -104
12 NaN
13 2200 104
14 1564 104
15 7465 -104
16 NaN
17 1177 -104
18 6052 -104
19 NaN
20 1745 -104
21 NaN
22 NaN
23 4865 -104
24 1025 -104
25 519 104
26 349 -104
27 NaN
28 NaN
29 NaN
30 NaN
31 1137 104
32 3922 -104
33 901 -104
34 NaN
35 2372 -104
36 244 104
37 NaN
38 NaN
39 5709 -104
40 886 104
41 4830 -104
42 NaN
43 2010 -104
44 3927 104
45 NaN
46 NaN
47 558 -104
48 1137 104
49 436 -104
50 6837 -104
51 2504 -104
52 NaN
53 2382 104
54 NaN
55 748 -104
56 579 104
57 NaN
58 NaN
59 815 -104
60 2364 104
61 6404 -104
62 NaN
63 4675 -104
64 471 -104
65 4779 104
66 NaN
67 1276 104
68 NaN
69 1030 104
70 6454 104
71 4954 104
72 1394 104
73 4242 -104
74 NaN
75 2393 104
76 NaN
77 7301 104
78 NaN
79 1272 104
80 2762 104
81 NaN
82 2025 -104
83 NaN
84 1265 -104
85 5658 -104
86 4553 104
87 NaN
88 NaN
89 NaN
90 6124 104
91 1113 -104
92 NaN
93 398 -104
94 NaN
95 2481 104
96 4406 104
97 4868 104
98 7417 -104
99 4415 104
