0 NaN
1 NaN
2 12 -104
3 NaN
4 NaN
5 NaN
6 NaN
7 NaN
8 NaN
9 NaN
10 NaN
11 NaN
12 NaN
13 12884 -104
14 NaN
15 NaN
16 34154 104
17 NaN
18 11921 -104
19 NaN
20 NaN
21 NaN
22 NaN
23 NaN
24 NaN
25 5654 -104
26 NaN
27 NaN
28 NaN
29 20526 104
30 NaN
31 NaN
32 NaN
33 7852 -104
34 NaN
35 NaN
36 NaN
37 17285 104
38 2798 104
39 NaN
40 8685 -104
41 NaN
42 NaN
43 NaN
44 NaN
45 NaN
46 8376 -104
47 NaN
48 NaN
49 NaN
50 NaN
51 NaN
52 NaN
53 800 -104
54 666 104
55 7 104
56 NaN
57 NaN
58 NaN
59 NaN
60 NaN
61 NaN
62 NaN
63 NaN
64 6608 -104
65 NaN
66 NaN
67 NaN
68 11703 -104
69 12380 104
70 NaN
71 NaN
72 NaN
73 50207 -104
74 17195 -104
75 12168 -104
76 10704 -104
77 NaN
78 10270 -104
79 NaN
80 NaN
81 NaN
82 6378 -104
83 NaN
84 NaN
85 NaN
86 NaN
87 NaN
88 NaN
89 24401 -104
90 13525 -104
91 NaN
92 2933 -104
93 1248 104
94 16307 104
95 3694 -104
96 NaN
97 NaN
98 NaN
99 NaN
