0 NaN
1 471 0
2 16 0
3 6 0
4 NaN
5 559 0
6 5 0
7 23874 0
8 NaN
9 NaN
10 NaN
11 955 0
12 2408 0
13 1436 0
14 NaN
15 NaN
16 1384 0
17 7792 0
18 NaN
19 3966 0
20 10 0
21 6251 0
22 NaN
23 NaN
24 1569 0
25 11 0
26 1600 0
27 NaN
28 1241 0
29 11774 0
30 NaN
31 NaN
32 NaN
33 NaN
34 60 0
35 NaN
36 3265 0
37 NaN
38 NaN
39 NaN
40 623 0
41 NaN
42 NaN
43 21 0
44 NaN
45 NaN
46 842 0
47 NaN
48 NaN
49 NaN
50 NaN
51 NaN
52 NaN
53 NaN
54 NaN
55 NaN
56 NaN
57 NaN
58 73 0
59 1112 0
60 NaN
61 NaN
62 168 0
63 NaN
64 NaN
65 12 0
66 15 0
67 4826 0
68 1881 0
69 NaN
70 9205 0
71 1250 0
72 2148 0
73 NaN
74 NaN
75 3236 0
76 11 0
77 NaN
78 NaN
79 1522 0
80 NaN
81 14 0
82 NaN
83 2752 0
84 18833 0
85 NaN
86 2204 0
87 1701 0
88 2315 0
89 1657 0
90 7026 0
91 2993 0
92 NaN
93 NaN
94 NaN
95 NaN
96 355 0
97 1660 0
98 5048 0
99 4 0
