0 NaN
1 NaN
2 NaN
3 NaN
4 NaN
5 NaN
6 NaN
7 5055 -104
8 NaN
9 NaN
10 1070 -104
11 NaN
12 NaN
13 559 -104
14 NaN
15 NaN
16 NaN
17 NaN
18 29 -104
19 NaN
20 NaN
21 NaN
22 5561 104
23 NaN
24 NaN
25 27 104
26 NaN
27 NaN
28 NaN
29 2094 -104
30 NaN
31 NaN
32 NaN
33 NaN
34 NaN
35 NaN
36 333 104
37 NaN
38 NaN
39 NaN
40 NaN
41 NaN
42 NaN
43 NaN
44 NaN
45 NaN
46 6012 -104
47 NaN
48 NaN
49 NaN
50 6872 104
51 118 -104
52 NaN
53 7715 -104
54 NaN
55 NaN
56 NaN
57 NaN
58 NaN
59 NaN
60 NaN
61 NaN
62 NaN
63 NaN
64 NaN
65 NaN
66 583 104
67 NaN
68 NaN
69 NaN
70 3175 -104
71 NaN
72 NaN
73 NaN
74 NaN
75 NaN
76 NaN
77 NaN
78 NaN
79 NaN
80 203 104
81 NaN
82 NaN
83 NaN
84 NaN
85 7040 104
86 55 104
87 7178 -104
88 NaN
89 NaN
90 NaN
91 NaN
92 6445 104
93 NaN
94 NaN
95 NaN
96 NaN
97 NaN
98 NaN
99 100 104
