0 NaN
1 742 104
2 NaN
3 NaN
4 3595 -104
5 NaN
6 1473 104
7 301 104
8 NaN
9 44 -104
10 NaN
11 26 -104
12 48 -104
13 10 104
14 NaN
15 NaN
16 686 104
17 58 104
18 NaN
19 39 -104
20 23 -104
21 17 -104
22 33 -104
23 22 104
24 509 -104
25 804 -104
26 784 -104
27 NaN
28 2573 -104
29 41 104
30 54 104
31 4730 104
32 25 104
33 NaN
34 28 104
35 68 104
36 154 104
37 36 -104
38 83 -104
39 2348 -104
40 NaN
41 NaN
42 NaN
43 58 104
44 2652 -104
45 NaN
46 104 104
47 4876 104
48 NaN
49 23 -104
50 3287 104
51 29 -104
52 NaN
53 13 104
54 32 -104
55 40 -104
56 7310 -104
57 NaN
58 336 -104
59 81 -104
60 20 104
61 NaN
62 143 -104
63 3085 104
64 NaN
65 48 104
66 NaN
67 NaN
68 1564 104
69 NaN
70 18 104
71 2228 -104
72 NaN
73 1122 104
74 35 104
75 2018 104
76 NaN
77 1200 104
78 NaN
79 52 -104
80 32 -104
81 NaN
82 944 104
83 NaN
84 1941 -104
85 1233 104
86 174 -104
87 1914 -104
88 6863 -104
89 134 104
90 NaN
91 NaN
92 NaN
93 33 104
94 46 104
95 184 104
96 10 -104
97 NaN
98 3998 -104
99 27 -104
