0 3514 -104
1 74 104
2 3366 104
3 1122 -104
4 1112 -104
5 6395 -104
6 5154 104
7 96 -104
8 3038 -104
9 988 104
10 2980 104
11 815 -104
12 1359 104
13 297 104
14 3788 104
15 111 -104
16 5883 -104
17 1653 -104
18 1221 -104
19 1931 -104
20 2634 104
21 3687 -104
22 461 104
23 720 -104
24 242 -104
25 226 -104
26 272 104
27 1333 104
28 3017 -104
29 1327 104
30 765 -104
31 2183 104
32 443 -104
33 3236 104
34 801 -104
35 1415 104
36 2782 104
37 9387 -104
38 7065 104
39 2219 104
40 1484 104
41 1217 -104
42 774 -104
43 3601 -104
44 146 104
45 848 -104
46 1121 -104
47 971 104
48 1988 -104
49 612 104
50 1484 104
51 700 -104
52 924 -104
53 184 104
54 67 -104
55 2820 104
56 224 104
57 1950 104
58 5122 -104
59 16 104
60 340 104
61 1963 -104
62 2774 -104
63 5184 -104
64 503 -104
65 8916 -104
66 4669 -104
67 1131 -104
68 1190 -104
69 1673 104
70 2886 104
71 2218 104
72 1055 104
73 1426 -104
74 623 104
75 188 -104
76 8763 -104
77 1512 104
78 969 -104
79 2455 -104
80 3046 104
81 112 -104
82 445 104
83 1562 104
84 635 104
85 2159 104
86 673 104
87 4637 104
88 4185 104
89 2123 104
90 1515 -104
91 371 104
92 70 104
93 5103 -104
94 502 -104
95 2268 -104
96 296 104
97 3801 104
98 38 104
99 270 -104
