0 NaN
1 35 -104
2 429 -104
3 3271 104
4 1677 104
5 176 104
6 287 -104
7 392 -104
8 NaN
9 3527 104
10 4506 104
11 52 -104
12 24 -104
13 NaN
14 NaN
15 16 104
16 NaN
17 60 -104
18 5762 -104
19 23 -104
20 28 104
21 20 104
22 NaN
23 7105 104
24 NaN
25 846 104
26 NaN
27 NaN
28 NaN
29 3000 104
30 NaN
31 19 104
32 108 -104
33 6380 -104
34 232 -104
35 NaN
36 1248 104
37 NaN
38 NaN
39 121 -104
40 6620 104
41 87 -104
42 17 104
43 3190 -104
44 30 104
45 NaN
46 1186 104
47 15 -104
48 NaN
49 3881 -104
50 7202 104
51 34 104
52 71 104
53 421 -104
54 3541 104
55 16 104
56 22 104
57 204 -104
58 6598 -104
59 94 -104
60 28 -104
61 NaN
62 30 -104
63 345 104
64 1588 -104
65 NaN
66 21 -104
67 17 -104
68 5763 104
69 57 -104
70 5028 104
71 359 104
72 6578 -104
73 NaN
74 1469 -104
75 19 -104
76 934 104
77 33 104
78 40 104
79 58 104
80 14 -104
81 4425 104
82 33 -104
83 57 -104
84 164 104
85 68 -104
86 891 -104
87 1369 -104
88 NaN
89 2018 104
90 59 104
91 4746 -104
92 NaN
93 NaN
94 1545 -104
95 33 -104
96 13 104
97 6741 104
98 31 104
99 1104 -104
